,review,label
32,"the art of political film making in all its glory.

""communicate with the soviets? we can't communicate with the pentagon - and it's just across the goddamn river!""

october 1962, for 13 days the american government fought to avert a nuclear war when it was discovered that the soviet union had deployed nuclear missiles in cuba. this is that story.

many superlatives can be chucked at thirteen days, and all are viable. in simple terms it's an intelligent and gripping political thriller, superbly scripted and performed by a cast firing on all cylinders. it's a treat to find a film of this type that educates while it pitches you into a world of political intrigue, to provoke real life thoughts even as the suspense takes a hold. yes it's talky, of course it is, but these conversations are real and riveting. and while there's not a duff performance in the acting pack, bruce greenwood deserves special praise. he is the leader, the fulcrum, there's not a false note by him, jfk becoming the role he was born to play.

superlatives were invented for films like thirteen days. assuredly so. 9.5/10",high
33,"kevin costner at least tried to do an accent in this movie, which probably means he got a new agent, a yes man that didn't bother to give him the advice that doing believable accents isn't his thing.  it's almost like listening to your average brit trying to sound like an american and completely overdoing it.

do we really sound that exaggerated to them?

who cares, ignore the above, it's still a good movie... despite costner's accent.  or, possibly, in spite of it.

it trashes dean achenson, and as a historian the only thing i like to see more than dean getting his just deserts is allen dulles getting his... and it throws a jab at that a**hole too.  in 2000 that would have been seen as pure liberal honesty, but now it sort of comes across as far right.  i mean the movie is literally about avoiding nuclear war with russia as the entire democratic party and the progressive movement seem to want to push us closer and closer to it.

it's one of the better political films you can see, and it builds the pressure to the point where you are terrified that the world could end despite the fact it has long come and gone.  and the shift from jack and bobby to ken o'donnel, a humble appointment secretary is probably one of the best approaches and best ideas any historical drama has ever had.

start to finish it is one of the best political thrillers of all time.",high
34,"what came first - the music or the misery?

high fidelity is directed by stephen frears and adapted to screenplay by d.v. devincentis, steve pink, john cusack and scott rosenberg from the nick hornby novel. it stars cusack, jack black, iben hjejle and todd louiso. music is by howard shore and cinematography by seamus mcgarvey.

record store owner and compulsive list-compiler rob gordon (cusack), embark's upon a what does it all mean mission when his latest girlfriend leaves him.

cusack and pink take hornby's hugely popular novel and redirect it to chicago, with joyous results. high fidelity is a tale of human love and a love of music, a sort of battle of the sexes with a soundtrack of masculine life. rob's voyage of self discovery is highly amusing, the trials and tribulations of relationships bringing out a number of scenes and scenarios that ring true, not just tickling the funny bones, but also tugging the heart and cradling the brain.

away from the doomed love angles it's the music threads that literally strike the chords. rob and his two co-workers barry (black) & dick (louiso) worship music and continually indulge in making top 5 lists whilst bickering with sarcastic glee in the process. all three actors are superb, a trio of odd balls bouncing off of one and other with a zest that's infectious, though it's decidedly cusack's show. a perpetual miserablist who addresses us the audience at frequent intervals, rob in cusack's hands garners sympathy, pity and laughs in equal measure.

in the support slots is a ream of talent well in on the joke, beauties like catherine zeta-jones (dropping f-bombs like they are going out of fashion), lisa bonet & joelle carter are complimented by the comic skills of joan cusack, while hjejle turns in a wily and womanly performance as the girlfriend who kicks starts rob's search for meaning. elsewhere the sight of tim robbins as a new age hippy type - with a black belt in martial arts - is so much fun it reminds of what a good comic actor he can be as well. 

as with grosse point blank, another cusack/pink production, sound tracking is everything, and naturally given the setting of the story there is an abundance of classic tunes to delight in. all told it's a special movie, for all sexes and for all music lovers, but especially for anyone who has had relationship problems. now what did come first, the music or the misery? priceless. 9/10",high
51,"_**a black detective in gotham desperately wants to nail a snooty racist murderer**_ 

the nephew of the original john shaft is a detective in new york city (samuel l. jackson) where he tries to apprehend an arrogant racist killer (christian bale) by finding a key witness (toni collette) while dealing with a gang lord (jeffrey wright) and corrupt cops. vanessa williams is on hand as a helpful officer.

“shaft” (2000) is a ‘hip’ crime thriller that resurrects the franchise 27 years after the original trilogy from 1971-1973 that featured richard roundtree in the title role (he returns here as the aged uncle). the cast and filmmaking are fine; the problem is the lame story with which they’re shackled. 

the key crime in the opening act is glaringly weak. bale’s character is a snooty punk born with a silver spoon in his mouth, but i didn’t buy his rash, racist actions at the night club. it just didn’t ring true, especially since he seems to get along with black people just fine the rest of the movie. likewise, collette’s actions aren’t convincing as the doe-eyed bartender. simply put, the scriptwriters tried too hard to concoct a racist whitey villain when subtly was in order.

if you can roll with that serious flaw, there are enough thrills to amuse, including jackson as the bad axx protagonist and wright’s entertaining drug lord. plus it’s always good to see the charming vanessa williams. 

the film runs 1 hour, 39 minutes, and was shot in various areas of new york city, as well as nearby newark. 

grade: c-",low
59,"dazzling björk in this indictment against the death sentence, in tight close-ups. this film is a ufo, musical without being.",high
65,"gladiator has been my most favorite film of all time. it is an epic masterpiece in many ways and it really explains why despite the numerous viewings, gladiator still amuses me with its powerful imageries and many other crucial aspects so that it won five academy awards. this film is very well written, the well-ensemble casts, the a-class acting (especially russell crowe and joaquin phoenix), the stunning cinematography and definitely a strong character of maximus (magnificently portrayed by russell crowe) whose life, struggle, disappointment and anger really move the audience, as if the world attention centers on him. gladiator is not a historical film, because it only used the history of the ancient roman empire merely as the time setting.
all other aspects namely those gorgeous shots, the great storyline/plot, the fantastic cinematography, the vividly lavish colors, detailed production design and digital imaging (that successfully rebuilt the stunning beauty of the ancient roman empire) and all sell really well, making the 170 minute-long running time definitely worthwhile. the visual of great battle in the first 15 minutes really stole my heart. the gruesome pictures, the blood and violence just to beautiful to abandon. everything in this movie seems perfectly balanced, ridley scott as the film director really did his homework well in redefining and revitalizing the big battle sequence once considered masterpiece from spartacus and ben hur. in the end, once again, i would say that gladiator perfectly combines some crucial elements such as good, moving story, dazzling visual, beautiful scenery, filming techniques, direction and touching music score into one harmonious, action-packed film about heroism and its true meaning.",high
66,"they said you were a giant. they said you can crush a man's skull with one hand.

ridley scott's gladiator is not a perfect film, i would think that the hardiest of fans, of which i'm firmly one, know this deep down. yet just like commodus in the film is keen to point out that he himself has other virtues that are worthy, so does gladiator the film. enough in fact to make it an everlasting favourite of genre fans and worthy of the academy award acknowledgements it received.

in narrative terms the plot and story arc is simplicity supreme, something scott and russell crowe have never shied away from. there has to my knowledge as well, never been a denial of the debt gladiator owes to anthony mann's 1964 epic, the fall of the roman empire. some folk seem very irritated by this, which is strange because the makers of gladiator were not standing up bold as brass to proclaim they were unique with their movie, what they did do was reinvigorate a stagnant genre of film for a new generational audience. and it bloody worked, the influence and interest in all things roman or historically swashbuckling of film that followed post gladiator's success is there for all to see.

what we do in life echoes in eternity.

so no originality in story, then. while some of the cgi is hardly ""grade a"" stuff, and there's a little over - mugging acting in support ranks as some of the cast struggle to grasp the period setting required, yet the way gladiator can make the emotionally committed feel, actually overrides film making irks. crowe's maximus is the man men want to be and the man women want to be with. as he runs through the gamut of life's pains and emotionally fortified trials and tribulations, we are with him every step of the way, urging him towards his day of revenge splattered destiny - with crowe superb in every pained frame, winning the academy award for best actor that he should have won for the insider the previous year.

backing crowe up is joaquin phoenix giving commodus preening villainy and connie nielsen graceful as lucilla (pitch nielsen's turn here against that of diane kruger's in troy to see the class difference for historical period playing). oliver reed, leaving the mortal coil but leaving behind a spicy two fold performance as proximo the gladiator task master. olly superb in both body and cgi soul. richard harris tugging the heart strings, derek jacobi classy, david hemmings also, while djimon hounso gives juba - maximus right hand man and confidante - a level of character gravitas that's inspiring.

i didn't know man could build such things.

dialogue is literate and poetic, resplendent with iconic speeches. action is never far away, but never at the expense of wrought human characterisations. the flaming arrows and blood letting of the germania conflict kicks things off with pulse raising clarity, and scott and his team never sag from this standard. the gladiator arena fights are edge of the seat inducing, the recreation for the battle of carthage a stunning piece of action sequence construction. and then the finale, the culmination of two men's destinies, no soft soaping from scott and crowe, it lands in the heart with a resounding thunderclap. a great swords and sandals movie that tipped its helmet to past masters whilst simultaneously bringing the genre alive again. bravo maximus decimus meridius. 10/10",high
69,"""gladiator,"" directed by ridley scott and released in 2000, is undeniably one of the best movies ever made. a cinematic masterpiece that effortlessly blends action, drama, and history, this film leaves an indelible mark on all who watch it.

at the heart of ""gladiator"" are the remarkable performances by russell crowe and joaquin phoenix. crowe's portrayal of maximus decimus meridius is nothing short of breathtaking. his stoic determination, unwavering loyalty, and charismatic presence make him the perfect embodiment of a hero. joaquin phoenix, on the other hand, delivers a chillingly convincing performance as the treacherous commodus. his portrayal of the power-hungry and morally bankrupt emperor is both mesmerizing and repulsive, showcasing his exceptional acting prowess.

what sets ""gladiator"" apart from other films is its ability to evoke genuine emotions. the story of maximus, a loyal general who seeks revenge for the murder of his family and the betrayal of his emperor, touches the very core of our humanity. the film explores themes of honor, justice, and the indomitable spirit of the human soul, making it a truly timeless narrative.

i would rewatch it anytime and recommend it to anyone. it's a solid 10/10, truly an amazing masterpiece.",high
70,"this is my first review.

scary movie:

this particular film is great, always a laugh everyday.

good cast too!

~bradley's",high
72,"what a great cast for such a cheap film.

description:
three college students base their class project around gossip and how fast it spreads, which soon spirals out of control.

review:
gossip is a dramatic thriller that was made fifteen years too late. the story sounds like something that could have been believable in the 80's but not for the 2000s, rape kits and a thorough investigation solves the plot. it's pretty to look at and the cast is excellent but the rest of it is unbelievable.",low
73,"the perfect storm, i just love it so much. 

""the fog's just lifting, you throw off your bow line, you throw off your stern-you head out to south chanel past rocky neck...ten pound island, past niles pond where i skated as a kid-and you blow your air horn and throw a wave to the lighthouse keepers kid on thatcher's island - then the birds show up, black backs and herring gulls, big dump ducks - the sun hits you, head north, open up to 12, you're steaming now, the guys are busy, you're in charge - you know what? you're a god damn sword boat captain, is there anything better in the world?"" 

ordinarily i would write a review that is fair minded and as honest as i can call it, something that hopefully would interest the readers either side of the fence. but here with the perfect storm i just want to write why i love this particular picture, and what a most divisive picture it has turned out to be. i'm aware of the complaints about the movie, even the ones from the family of the real captain billy tyne {played by alpha male regular george clooney}, but as an entertaining spectacle with huge slices of emotional fortitude, the perfect storm will forever be hitting my spots. 

the character build up is just wonderful, people with things to prove, fractured and blossoming romances, loyalties on the line, grudges carried over from previous encounters, the lives of sea fishermen fully formed in the films first quarter. then there is a sequence as george clooney says the monologue that i have opened this review with, beautifully recited, but it's the emotion in linda greenlaw's face (mary elizabeth mastrantonio) as she watches and listens to him speak it, just wonderful. then the boys go out to see, heading off into dangerous waters to hopefully make a killing in the fish market, tensions run high, accidents happen, heroes are born and rivalries quickly overturned, but the boys must go further if they are to corner the market, the grand banks are evil at this time of year. 

a three pronged hostile weather front is heading their way, they are, as linda tells billy on the radio, heading into the belly of the monster, and what a monster it is. here the makers excel, director wolfgang petersen, his cinematographer john seale and his s/e maestro john frazier do literally put me right there in a amongst the waves and derringdo bravado. then it's the final couple of reels, the emotional mangler, even a spiritual coda that is hated by so many can't make me dislike the film any less, and i'll wager right here and now that as funeral eulogies go, few if any have been delivered with as much heartbreaking emotion as the one read by mastrantonio here. all of which is backed by a truly involving score by james horner, shades of braveheart's emotional swirls in there. 

it's a personal opinion you know, but the perfect storm is a magnificent film that i enjoy three times a year, every year, and nobody will ever be able to take that away from me. 

""there's no goodbyes christina, only love,"" damn straight! 9/10",high
75,"shattering expose of the fallible human condition.

what to say about darren aronofsky's requiem for a dream that hasn't been said already? without doubt it's a film, that in spite of its high standing on the main movie sites, polarises opinions. it's a film that in simple terms follows four people through their addictions until the shattering denouement, but the journey is made more bleak by offering tantalising snatches of hope, the dreams of the protags offered up as some sort of goals for the addicts to cling on to - only for the narrative to stick in its rusty serrated blade to draw the lifeblood from the hapless hopefuls.

arononfsky brings a multitude of technical skills to the party that emphasise the emotional discord on show. standard split-screening is married up with rapid cutting, isolated framing, close ups, long tracking and snorricam, all of which is sound tracked by clint mansell's haunting musical composition. all told it's an assault on all the senses and terrifying with it, boosted no end by aronofsky getting top performances from his cast of actors. love it or hate it, it's a film that simply can't be ignored, unsparing cinema produced by a most gifted director. 9/10",high
76,"only my second viewing of this, last time probably was when it came out on dvd, and not one i'll re-watch anytime soon, but still a great drama featuring incredible performances, most notably ellen burstyn who was worthy of her oscar nomination. has some darkly wild moments and a swing in tones, guess giving viewers insights into the highs and lows of heroine use. not entertaining in so much as fascinating film worth it for some of the visuals and acting. **4.5/5**",high
78,seen this a few times over the years and still remains a compelling multi-character drama with some fine performances all around. also has some great visuals depending on the storyline. not sure where i rank it amongst soderbergh's other works (ocean's 11 has the fun factory going for it) but still love it no matter how many times i've seen it. **4.5/5**,high
80,"hopes, dreams & nightmares.

almost famous is cameron crowe's paean to rock music, of bands and songs, of journalism and promotion, of sex & drugs. drawing from experience and stories passed on, crowe tells the tale of a young teenage boy aspiring to be a music journalist in the 1970s. finding himself backstage with the rock group stillwater, william miller (patrick fugit) embarks on a road journey with the band that's awash with egos, groupies, perils and pleasures, all of which change his life forever.

lets go find something real!

the most striking thing about it is that it's not overtly funny or sensationalistic, it's a production that's full of love, real love, for the subject matters to hand, and it's very often a moving experience to be part of. narratively speaking, crowe takes his time, steadily building characters and backdrop essentials, it works a treat as we become immersed in all the major players within the music circle, while also feeling the concerns of those on the outside of the rock group circle. which of course gives us the great rewards come the final third of film when all matters come to a head. crowe and his design team also work some magic for period flavours, capturing the early 70s vibe with awareness of clothing, food and drink and transport. nothing ever seems false, which is remarkable in this era of product placements and shameless plugging. 

50 bucks and a case of beer! 

another one of crowe's strengths is how he garners great performances from his actors. there's no big stars here, no tom or renée, but billy crudup, jason lee, kate hudson and fugit, who respond to their director with sincere and believable performances, no caricatures or ham sarnies here, no way. while outskirt performances from frances mcdormand (brilliant as william's fretful mother), anna paquin, philip seymour hoffman (as the legendary lester bangs) and fairuza balk, consistently hit the hi-hat. the music of course rocks, from metal and progers, to folkers and bubblegum, to some punk godfathery, these sounds feature on the soundtrack and kick the decade into orbit - while the stillwater scenes are effective and the use of elton john's tiny dancer will land in your heart and stay there.

cameron crowe has created a smashingly memorable film that will stand the tests of time. two cuts are available, where both the theatrical and director's cuts are sure fire things (the latter bootleg cut my personal favourite). this is a music based film to sit with the best of them, god bless rock n roll and god bless cameron crowe, for he could have easily embellished and over egged his rock pudding, instead he kept it real. 9/10",high
81,"with the new 4k release, decided to watch the director's cut (untitled) version for the first time having seen the theatrical version a couple of times over the years (last time was several years ago, however). anyway, still a great movie even for someone who isn't exactly steeped into rock and roll music. features a wonderful ensemble cast with solid performances all around (hudson and crudup were standouts) and the original music, alongside the classics, were great. **4.5/5**",high
83,"you see a lot of people here calling this one of their favorite movies. it's certainly one of mine. but, twenty years after i've found myself wondering if it's the movie that i like or if it's the music.

i mean, it references lester bangs, and he is played by hoffman. and it is a crowe film. but it's about rolling stone when rolling stone was important and not the hallow shadow of it's former self.

and with that tale about rolling stone's former glory it tells the story about rock and roll before it caved into new wave, disco, and was finally washed away with the auto-tune and drum machine bubblegum pop that needs a mass burning in soldier field in the near future.

but look at the sound track, simon and garfunkle, the who, iggy pop, black sabbath, rod stewart, the allman brothers, the seeds, fleetwood mac, everyone's favorite led zeppelin, deep purple, lynyrd skynyrd, cat stevens, and my favorite elton john song.

and those are just the highlights. but, that is a playlist, that is an record collection. most everyone has an album by one of those bands.

and, of course, still water is a place savor for the allman brothers and in some cases it's so obvious it hurts.

so, is it one of my favorite films? twenty years on do i really love this film or do i love the soundtrack? do i love the era it portrays when rock was still relevant and the rolling stone still meant something?

honestly i don't know... because, at the end of the day, i do really love this movie. i mean, frances mcdormand is in it... but honestly, i think i just love the music a little more.

fortunately, i am gen-x, i grew up with pearl jam and nirvana and green day. i grew up with grunge and punk and i thank god every day that i turn on the radio that i had worthy bands to follow and record stores were still a part of my life.

i'd hate to be my wife's age. i'd hate to be a millennial. i'd hate to be gen-z... but a big part of me would have loved to be a boomer, would have loved to be my father's age, even with all the problems, just because they got experience all that music when it was still new, still fresh, and the musicians were still in their prime and preforming at the top of their games.

so, yeah, i love the movie but i like the music a heck of a lot more.",high
84,"it was a tough day, but after watching the movie, it was exhilarating. it's fun when looking at the surrounding atmosphere of the movie. i felt like i was inside this world full of adventures.",high
87,"some couples dance, others go to mars.

it was the year of two mars based movies, with the other being red planet, of pitch black and the chaotic history that produced the supernova. plenty of sci-fi around but sadly few decent offerings.

mission to mars is a film you can see had good ideas on the page, some brainy and emotion based narrative threads. effects work is ok for the era, while there's a very impressive cast put together to tell the story. yet the script stinks to high heaven, the surprises are as absent as martians are, while the steals from previous sci-fi movies grate on the nerves. the odd sequence has quality about it (dancing in space, woo-hoo, storm attack, yay), while the finale - all be it still a steal - is well constructed and further proof that someone somewhere had the kernel of a good story idea, but it's laborious trite and devoid of the basic film principals - to entertain and engage.

so many things wrong here, so much so the names of all involved have been spared. join this mission to mars at your own peril. 4/10",low
97,"**ocean’s eleven vibes with an endearing ensemble cast and cars instead of casinos.**

gone in 60 seconds is fun. plain and simple. this entertaining, high-energy action romp is fueled by nic cage in his prime, gorgeous cars, an exceptional cast, and an unencumbered spirit that embraces the cheese. gone in 60 seconds immerses its viewers in a world of moral thieves with deep bonds and a strong code. as the movie progresses, discovering more about each character raises the stakes as the audience fears what could happen to these endearing bandits. even though the plot has plenty of cheese, it’s balanced by the excellent execution and commitment of the cast. peak nic cage makes the whole film sublime and delightful.",high
101,"easily my favourite of lee's films, plus this was a no-brainer for me to watch, since i love martial arts films and the three stars. peter pau's cinematography and dun tan's soundtrack deservedly won two of the four oscars, amidst its ten nominations, but even though the production values and story were the reason that this, rather than more significant martial arts classics, such as 'the 36th chamber of shaolin' and other shaw brothers' masterpieces of the genre is that it stepped outside the box and became mandatory viewing for both genders and all cultures with its love story, in the same way that 'rocky' isn't simply a boxing movie. still fascinating watching today, and the scene in which the restaurant is destroyed is one of the most fascinating set-pieces i have yet seen.",high
110,"**overall : hilarious characters and a heartwarming story perfect the formula of major league delivering one of the best and funniest sports movies ever made.**

with all the charm of major league and a cast of zany lovable characters, the replacements stands out as my favorite sports movie of all time! led by keanu reeves and gene hackman, this team of hilarious scrappy nobodies and has-beens get their shot as pros, but this goofy comedy disguises a heartwarming story as these crazy characters find redemption and family in each other. a classic in every way, the replacements shines through its entertaining cast, excellent writing, and satisfying story anchored by one of keanu's many iconic roles.",high
111,"pretty typical movie from the early aughts with attractive twenty-somethings in the leads and bland ""rock"" pop music, alongside an overly dramatic score. the acting is so-so at best and really bad story to go along with a laughable ending. led to two direct-to-video sequels that i'm really not too keen to revisit. **2.0/5**",low
117,"i'll see you soon!

before taking off for paris, alex browning has a vision that the plane is going to explode. pannicking he gets off the plane and in the mêlée a teacher and a group of his class mates are forced off the flight, the plane goes on to explode in mid air, killing everyone on board. but pretty soon after the disaster strange accidents start to befall those who got off the plane, it seems that death is out to get them.

with the number of hugely disappointing teens in peril movies that were made post the success of wes craven's hugely successful scream, it's refreshing to find one that was, well, refreshing. not purporting to be anything other than a wickedly entertaining piece of horror based nonsense, final destination is inventive, funny and above all else, shock laden.

from the opening, and terrifying air crash sequence to the clever and gross way that our protagonists shake hands with the grim reaper, this film is gloriously proud of its horror intent. one peak at the surnames of the characters will tell you just how into their horror roots the makers are here, whilst not a homage movie as such, james wong and his team clearly know what makes a modern horror picture work.

if you find yourself complaining about the writing then you clearly are missing the point of final destination's existence, either that or you are in fact dead yourself! four fun but vastly inferior sequels would follow, but really this is the one to watch, as good a 100 minutes of horror fun as you could wish to have. i dare you not to jump out your seat at least once! 9/10",high
119,love this movie. a person has visions of a disaster or people dieing. all his visions come true. this one is my favorite out of the series.,high
123,"_red planet_ has so much going on, and it doesn't have control of any of it. not a single actor fits their character, except possibly carrie-ann moss, who spends basically the entire runtime too benched to really count as a character in 99% of the story anyway.

_final rating:★★ - had some things that appeal to me, but a poor finished product._",low
